numero;nom;nom_EN;nom_ES;secteur;secteur_EN;secteur_ES;libelle;libelle_EN;libelle_ES;concept;pays;hors_notation
1;La Vitrine;The Storefront;El Escaparate;;;;Vitrine propre, sans trace;Window clean, no marks;Escaparate limpio, sin marcas;Tous;;
1;La Vitrine;The Storefront;El Escaparate;;;;Enseigne propre, pas de toiles d'araignées;Sign clean, no cobwebs;Rótulo limpio, sin telarañas;Tous;;
1;La Vitrine;The Storefront;El Escaparate;;;;Enseigne éclairée la journée (timer à jour);Sign lit during the day (timer up to date);Rótulo iluminado de día (temporizador actualizado);Tous;;
1;La Vitrine;The Storefront;El Escaparate;;;;Trottoir propre, pas de feuilles ni mégots;Pavement clean, no leaves or cigarette butts;Acera limpia, sin hojas ni colillas;Tous;;
1;La Vitrine;The Storefront;El Escaparate;;;;Bandeaux mutuelles à jour (horaires et réseaux);Insurance banners up to date (hours and networks);Carteles de mutuas actualizados (horarios y redes);Tous;;
2;L'Espace Attente;The Waiting Area;La Sala de Espera;;;;Le mobilier est en PARFAIT état;Furniture is in PERFECT condition;El mobiliario está en PERFECTO estado;Tous;;
2;L'Espace Attente;The Waiting Area;La Sala de Espera;;;;Le tapis est propre;The rug is clean;La alfombra está limpia;Tous;;
2;L'Espace Attente;The Waiting Area;La Sala de Espera;;;;Le meuble à café est propre (pas de bouteille vide ni trace);Coffee unit is clean (no empty bottles or marks);El mueble de café está limpio (sin botellas vacías ni marcas);Tous;;
2;L'Espace Attente;The Waiting Area;La Sala de Espera;;;;Les tiroirs sont approvisionnés (ni plus ni moins);Drawers are stocked (neither more nor less);Los cajones están abastecidos (ni más ni menos);Tous;;
2;L'Espace Attente;The Waiting Area;La Sala de Espera;;;;La coupelle à bonbons est pleine;The candy bowl is full;El cuenco de caramelos está lleno;Tous;;
3;La Table de Ventes;The Sales Table;La Mesa de Ventas;;;;2 chaises clients et un tabouret en bon état par table simple;2 client chairs and a stool in good condition per single table;2 sillas de cliente y un taburete en buen estado por mesa simple;Tous;;
3;La Table de Ventes;The Sales Table;La Mesa de Ventas;;;;Tiroirs rangés (fournitures complètes ni plus ni moins, dossiers devis rangés);Drawers tidy (supplies complete, quote files filed);Cajones ordenados (suministros completos, presupuestos archivados);Tous;;
3;La Table de Ventes;The Sales Table;La Mesa de Ventas;;;;Stock péniches et sacs approvisionné;Trays and bags stock supplied;Stock de bandejas y bolsas abastecido;Tous;;
3;La Table de Ventes;The Sales Table;La Mesa de Ventas;;;;Tests de lecture en bon état;Reading tests in good condition;Test de lectura en buen estado;Tous;;
3;La Table de Ventes;The Sales Table;La Mesa de Ventas;;;;Miroir propre et en bon état (un par table double);Mirror clean and in good condition (one per double table);Espejo limpio y en buen estado (uno por mesa doble);Tous;;
3;La Table de Ventes;The Sales Table;La Mesa de Ventas;;;;Aucune péniche sur les tables de ventes;No trays on the sales tables;Ninguna bandeja sobre las mesas de ventas;Tous;;
3;La Table de Ventes;The Sales Table;La Mesa de Ventas;;;;Aucun cable ne dépasse;No cables sticking out;Ningún cable sobresale;Tous;;
4;Le Facing Montures;Frame Display;Expositor de Monturas;;;;Tous les emplacements montures sont occupés;All frame slots are filled;Todos los espacios de monturas están ocupados;UDM;;
4;Le Facing Montures;Frame Display;Expositor de Monturas;;;;Toutes les montures sont sous la bonne signalétique;All frames are under the correct signage;Todas las monturas están bajo la señalización correcta;Tous;;
4;Le Facing Montures;Frame Display;Expositor de Monturas;;;;Les miroirs sont propres;Mirrors are clean;Los espejos están limpios;Tous;;
4;Le Facing Montures;Frame Display;Expositor de Monturas;;;;Les plateaux rouges sont en bon état et disponibles;Red trays are in good condition and available;Las bandejas rojas están en buen estado y disponibles;Tous;;
4;Le Facing Montures;Frame Display;Expositor de Monturas;;;;Les facing sécurisés sont bien fermés;Secured displays are properly locked;Los expositores de seguridad están bien cerrados;Ancien;;
4;Le Facing Montures;Frame Display;Expositor de Monturas;;;;Les écrans sont tous allumés;All screens are on;Todas las pantallas están encendidas;UDM;;
4;Le Facing Montures;Frame Display;Expositor de Monturas;;;;Les PLV sont à jour;POS displays are up to date;El material publicitario está actualizado;Tous;;
4;Le Facing Montures;Frame Display;Expositor de Monturas;;;;Pas de trous dans AUCUN facing;No gaps in ANY display;Ningún hueco en NINGÚN expositor;Ancien;;
4;Le Facing Montures;Frame Display;Expositor de Monturas;;;;Les tiroirs de stock montures sont rangés et présentables;Frame stock drawers are tidy and presentable;Los cajones de stock de monturas están ordenados y presentables;Tous;;
4;Le Facing Montures;Frame Display;Expositor de Monturas;;;;Les stocks d'étuis sont rangés sous les bons meubles;Case stock is stored under the correct units;El stock de estuches está guardado bajo los muebles correctos;Ancien;;
4;Le Facing Montures;Frame Display;Expositor de Monturas;;;;Les stocks d'étuis sont rangés dans les meubles le plus proche;Case stock is stored in the nearest unit;El stock de estuches está guardado en el mueble más cercano;UDM;;
5;Les Niches Sport et Vue;Sport & Vision Niches;Nichos Deporte y Visión;;;;Les niches/étagères sont propres et rangées;Niches/shelves are clean and tidy;Los nichos/estanterías están limpios y ordenados;Tous;;
5;Les Niches Sport et Vue;Sport & Vision Niches;Nichos Deporte y Visión;;;;Tous les univers du sport sont bien présentés et identifiables;All sport ranges are well displayed and identifiable;Todos los universos de deporte están bien presentados e identificables;Tous;;
5;Les Niches Sport et Vue;Sport & Vision Niches;Nichos Deporte y Visión;;;;Toutes les références de la stratégie Montures sont présentées;All Frames strategy references are on display;Todas las referencias de la estrategia de Monturas están expuestas;Tous;;
